sabal	ˈsaː.bɐl
kahinaang-loob	kɐ.hɪˌn̪aː.ʔɐn̪ loˈʔob̚
magsiwalat	mɐɡ.sɪˈwaː.lɐt̪̚
dadalwa	ˌd̪aː.d̪ɐlˈwa
pulut-gata	pʊˌlʊt̪ ɡɐˈt̪aʔ
liberalismo	lɪ.bɛ.ɾɐˈlis.mo
konsumo	kon̪ˈsuː.mo
haba	ˈhaː.bɐʔ
naytklab	ˈn̪aɪ̯t̪.klɐb̚
alitiit	ʔɐ.lɪˈt̪iː.ʔɪt̪̚
lupasay	lʊ.pɐˈsaɪ̯
salisipan	sɐ.lɪ.sɪˈpan̪
bingguhan	bɪŋˈɡuː.hɐn̪
inom	ʔɪˈn̪om
hubog-kandila	ˌhuː.boɡ kɐn̪ˈd̪iː.lɐʔ
gento	ɡɛn̪ˈt̪o
ang	ʔɐŋ
bigting	bɪɡˈt̪ɪŋ
ipakausap	ʔɪ.pɐ.xɐˈʔuː.sɐp̚
baki't	ˈbaː.xɪt̪̚
super-intendente	sʊˌpɛɾ.ʔɪn̪.t̪ɛn̪ˈd̪ɛn̪.t̪ɛ
adamantino	ʔɐ.d̪ɐ.mɐn̪ˈt̪iː.n̪o
armason	ʔɐɾ.mɐˈson̪
industriyal	ʔɪn̪.d̪ʊsˈt̪ɾjal
adidas	ʔɐˈd̪iː.d̪ɐs
limos	lɪˈmos
malibag	mɐ.lɪˈbaɡ̚
guro	ˈɡuː.ɾoʔ
magmaliw	mɐɡˈmaː.lɪʊ̯
timbon	t̪ɪmˈbon̪
almuhasa	ʔɐl.mʊˈhaː.sɐ
labing	lɐˈbɪŋ
presinto	pɾɛˈsin̪.t̪o
tuwan	ˈt̪wan̪
tatlumpu't anim	t̪ɐt̪.l̪ʊmˌpʊt̪ ˈʔaː.n̪ɪm
ma- -han	mɐ hɐn̪
salimao	sɐ.lɪ.mɐˈʔo
ngiplong	ŋɪpˈloŋ
ninuman	ˌn̪iː.n̪ʊˈman̪
uniko iho	ˌʔuː.n̪ɪˌxo ˈʔiː.ho
sabong	ˈsaː.boŋ
aproba	ʔɐ.pɾoˈba
letra	ˈlɛt̪.ɾɐ
bawat	ˈbaː.wɐt̪̚
pladlayt	ˈplad̪.l̪aɪ̯t̪
konsyerto	kon̪ˈʃɛɾ.t̪o
disempleo	d̪ɪ.sɛmˈplɛː.jo
tangan	ˈt̪aː.ŋɐn̪
malaki	mɐ.lɐˈxɪ
linlang	lɪn̪ˈlaŋ
balse	ˈbal.sɛ
rekisa	ɾɛˈxiː.sɐ
matuuran	mɐ.t̪ʊ.ʔʊˈɾan̪
tagapaglathala	t̪ɐ.ɣɐ.pɐɡ.lɐt̪ˈhaː.lɐʔ
palayok	pɐ.lɐˈjok̚
mangalabasa	mɐ.ŋɐ.lɐˈbaː.sɐ
amper	ˈʔam.pɛɾ
dagibalniin	d̪ɐ.ɣɪ.bɐlˈn̪iː.ʔɪn̪
tindahan	t̪ɪn̪ˈd̪aː.hɐn̪
emperador	ʔɛm.pɛ.ɾɐˈd̪oɾ
mandolina	mɐn̪.d̪oˈliː.n̪ɐ
habilin	hɐˈbiː.lɪn̪
baraso	bɐˈɾaː.so
mag-igib	mɐɡ.ʔɪˈɣɪb̚
awdiyo	ˈʔaʊ̯.d͡ʒo
krisopasio	kɾɪ.soˈpaː.ʃo
kinyentos	kɪnˈɲɛn̪.t̪os
taon	t̪ɐˈʔon̪
papitero	pɐ.pɪˈt̪ɛː.ɾo
papansin	pɐ.pɐn̪ˈsɪn̪
hiklas	hɪkˈlas
pagsasama	pɐɡ.sɐˈsaː.mɐ
yu	jʊ
maalinsangan	mɐ.ʔɐ.lɪn̪ˈsaː.ŋɐn̪
matabsing	mɐ.t̪ɐbˈsɪŋ
dukha	d̪ʊkˈhaʔ
kokayna	koˈxaɪ̯.n̪ɐ
alimasag	ʔɐ.lɪˈmaː.sɐɡ̚
tsandilyer	t͡ʃɐn̪.d̪ɪlˈjɛɾ
kantarilya	kɐn̪.t̪ɐˈɾil.jɐ
kulangot	kʊˈlaː.ŋot̪̚
amarilyo	ʔɐ.mɐˈɾil.jo
liyag	ˈljaɡ̚
silid-tulugan	sɪˌlɪd̪ t̪ʊ.lʊˈɣan̪
punebre	pʊˈn̪ɛb.ɾɛ
aalpombrahin	ʔɐ.ʔɐl.pomˈbɾaː.hɪn̪
abstensyon	ʔɐbs.t̪ɛn̪ˈʃon̪
tarya	t̪ɐɾˈja
mosketero	mos.kɛˈt̪ɛː.ɾo
kapag may gusto, may paraan	kɐˌpaɡ maɪ̯ ˌɡus.t̪o | maɪ̯ pɐ.ɾɐˈʔan̪
magtataho	mɐɡ.t̪ɐ.t̪ɐˈhoʔ
korupsyon	ko.ɾʊpˈʃon̪
dilihensiya	d̪ɪ.lɪˈhɛn̪.ʃɐ
anggulong obtuso	ˌʔaŋ.ɡʊˌloŋ ʔobˈt̪uː.so
mamulaklak	mɐ.mʊ.lɐkˈlak̚
diyalogo	ˌd͡ʒaː.loˈɣo
parales	pɐˈɾaː.lɛs
kamakalima	kɐ.mɐ.xɐ.lɪˈma
dagilap	d̪ɐ.ɣɪˈlap̚
ugnaypaa	ʔʊɡˌn̪aɪ̯.pɐˈʔa
apiran	ˌʔaːˈpiː.ɾɐn̪
kabibi	kɐˈbiː.bɪ
bika	bɪˈxaʔ
baril	bɐˈɾɪl
kunsumo	kʊn̪ˈsuː.mo
uhor	ˈʔuː.hoɾ
kanto boy	ˌkan̪.t̪o ˈboɪ̯
duyan	ˈd̪uː.jɐn̪
wangis	ˈwaː.ŋɪs
daluro	d̪ɐˈluː.ɾoʔ
antabang	ʔɐn̪.t̪ɐˈbaŋ
matam-is	mɐ.t̪ɐmˈʔɪs
amol	ˈʔaː.mol
agaran	ˌʔaːˈɣaː.ɾɐn̪
maghikab	mɐɡ.hɪˈxab̚
tenoryo	t̪ɛˈn̪oɾ.jo
kulat-kulat	ˌkuː.lɐt̪ ˈkuː.lɐt̪̚
alpasutis	ʔɐl.pɐˈsuː.t̪ɪs
bangkete	bɐŋˈkɛː.t̪ɛ
daglat	d̪ɐɡˈlat̪̚
agong	ˈʔaː.ɣoŋ
sapantaha	sɐ.pɐn̪ˈt̪aː.hɐʔ
tagapamanihala	t̪ɐ.ɣɐ.pɐ.mɐ.n̪ɪˈhaː.lɐʔ
lagumba	lɐ.ɣʊmˈba
rotasyon	ɾo.t̪ɐˈʃon̪
hilahid	hɪˈlaː.hɪd̪̚
ilaw-trapiko	ˌʔiː.laʊ̯ ˌt̪ɾaː.pɪˈxo
mitsa	mɪtˈt͡ʃa
karneng-tupa	kɐɾˌn̪ɛn̪ ˈt̪uː.pɐ
natutulog sa pansitan	n̪ɐ.t̪ʊˌt̪uː.loɡ sɐ pɐn̪ˈsiː.t̪ɐn̪
oksyon	ˈʔok.ʃon̪
matigas ang mukha	mɐ.t̪ɪˌɣas ʔɐŋ mʊkˈhaʔ
makaysa	mɐ.xaɪ̯ˈsa
krimen	kɾɪˈmɛn̪
tyani	ˈt͡ʃaː.n̪ɪʔ
punto de bista	ˌpun̪.t̪o d̪ɛ ˈbis.t̪ɐ
otsosyentos	ʔot.t͡ʃoˈʃɛn̪.t̪os
bungangaan	bʊ.ŋɐˈŋaː.ʔɐn̪
latag	ˈlaː.t̪ɐɡ̚
antiepileptiko	ʔɐn̪.t̪ɪ.ʔɛ.pɪˌlɛp.t̪ɪˈxo
yaya	ˈjaː.jɐ
dominyon	d̪oˈmiː.ɲon̪
organdi	ʔoɾ.ɡɐn̪ˈd̪ɪ
sibika	ˌsiː.bɪˈxa
boluptuwoso	bo.lʊpˈt̪woː.so
lowbat	ˈloʊ̯.bɐt̪̚
sasabungin	sɐ.sɐˈbuː.ŋɪn̪
lapurit	lɐ.pʊˈɾɪt̪̚
batasan	ˌbaːˈt̪aː.sɐn̪
karampot	kɐ.ɾɐmˈpot̪̚
parati	pɐˈɾaː.t̪ɪ
kulay-abo	ˌkuː.laɪ̯ ʔɐˈbo
pumirma	pʊ.mɪɾˈma
tongpats	ˈt̪om.pɐt̪s
tifon	t̪ɪˈfon̪
dawis	ˈd̪aː.wɪs
asar	ʔɐˈsaɾ
palpitasyon	pɐl.pɪ.t̪ɐˈʃon̪
gisahin sa sariling mantika	ɡɪ.sɐˌhɪn̪ sɐ sɐˌɾiː.lɪŋ mɐn̪ˈt̪iː.xɐʔ
magtanggol	mɐɡ.t̪ɐŋˈɡol
katitikan	kɐ.t̪ɪˈt̪iː.xɐn̪
kalumpit	kɐ.lʊmˈpɪt̪̚
pangngalang palansak	pɐŋˌŋaː.lɐm pɐ.lɐn̪ˈsak̚
bota	ˈboː.t̪ɐ
ayawan ko	ʔɐ.jɐˈwaŋ ko
tarpo	ˈt̪aɾ.po
yanga	jɐˈŋa
probokasyon	pɾo.bo.xɐˈʃon̪
anestetista	ʔɐ.n̪ɛs.t̪ɛˈt̪is.t̪ɐ
dili	ˈd̪iː.lɪ
dos	ˈd̪os
aperitibo	ʔɐ.pɛ.ɾɪˈt̪iː.bo
mahugis	mɐˈhuː.ɣɪs
aakyat	ˌʔaː.ʔɐkˈjat̪̚
inspirado	ʔɪn̪s.pɪˈɾaː.d̪o
pintas	pɪn̪ˈt̪as
manggostan	mɐŋ.ɡosˈt̪an̪
alpyado	ʔɐlˈpjaː.d̪o
timpi	t̪ɪmˈpɪʔ
huy	ˈhʊɪ̯
te	ˈt̪ɛ
angglikanismo	ʔɐŋ.ɡlɪ.xɐˈn̪is.mo
apila	ʔɐ.pɪˈla
bosing	ˈboː.sɪŋ
paandar	pɐ.ʔɐn̪ˈd̪aɾ
bandera	bɐn̪ˈd̪ɛː.ɾɐ
kayawa	kɐˈjaː.wɐʔ
bilaok	bɪˈlaː.ʔok̚
teh	ˈt̪ɛ
balintatawo	bɐ.lɪn̪.t̪ɐ.t̪ɐˈwo
abuhan	ˌʔaːˈbuː.hɐn̪
imbayog	ʔɪmˈbaː.joɡ̚
pastilan	pɐsˈt̪iː.lɐn̪
kanina	kɐˈn̪iː.n̪ɐ
huwisyo	ˈhwiː.ʃo
tadyang	t̪ɐdˈd͡ʒaŋ
dagat	ˈd̪aː.ɣɐt̪̚
ibanto	ʔɪ.bɐn̪ˈt̪oʔ
anghina	ʔɐŋˈhiː.n̪ɐ
pinsala	pɪn̪ˈsaː.lɐʔ
balikwas	bɐ.lɪkˈwas
trapik	ˈt̪ɾaː.pɪk̚
hanggan	hɐŋˈɡan̪
kawalang-kasiguraduhan	kɐ.wɐˌlaŋ kɐ.sɪ.ɣʊ.ɾɐˈd̪uː.hɐn̪
kalukbananan	kɐ.lʊk.bɐˈn̪aː.n̪ɐn̪
tagilaiw	t̪ɐ.ɣɪˈlaː.ʔɪʊ̯
parmasya	pɐɾˈmaː.ʃɐ
sakapwego	sɐ.xɐpˈwɛː.ɣo
eskwela publika	ʔɛsˌkwɛː.lɐ ˌpub.lɪˈxa
kaparangan	kɐ.pɐˈɾaː.ŋɐn̪
amonyo	ʔɐˈmoː.ɲo
hukumang huling dulugan	hʊˌxuː.mɐŋ hʊˌlɪn̪ d̪ʊˈluː.ɣɐn̪
balngawsukat	bɐl.ŋaʊ̯ˈsuː.xɐt̪̚
hipno	hɪpˈn̪o
hindi ko maintindihan	hɪn̪ˌd̪ɪʔ ko ˌmaː.ʔɪn̪.t̪ɪn̪.d̪ɪˈhan̪
disisiyete	d̪ɪ.sɪˈʃɛː.t̪ɛ
pigi	pɪˈɣɪʔ
rati	ˈɾaː.t̪ɪ
kendeng	ˈkɛn̪.d̪ɛŋ
magkantutan	mɐɡ.kɐn̪ˈt̪uː.t̪ɐn̪
maghapon	mɐɡˈhaː.pon̪
asalin	ʔɐˈsaː.lɪn̪
piye-de-galyo	ˌpjɛ d̪ɛ ˈɡal.jo
epekto	ʔɛˈpɛk.t̪o
unaba	ʔʊˈn̪aː.bɐ
binili	bɪ.n̪ɪˈlɪ
mapang-akit	mɐˌpaŋˈʔaː.xɪt̪̚
patalastas	pɐ.t̪ɐ.lɐsˈt̪as
halibhib	hɐ.lɪbˈhɪb̚
kumutan	kʊˈmuː.t̪ɐn̪
ulohati	ʔʊ.loˈhaː.t̪ɪʔ
kkb	keɪ̯ xeɪ̯ bɪ
linisan	lɪˈn̪iː.sɐn̪
tatal	ˈt̪aː.t̪ɐl
kadiliman	kɐ.d̪ɪˈliː.mɐn̪
kabisi	kɐ.bɪˈsɪʔ
pirali	pɪ.ɾɐˈlɪʔ
salsitsas	sɐlˈsiː.t͡ʃɐs
adhudikasyon	ʔɐd̪.hʊ.d̪ɪ.xɐˈʃon̪
utoy	ˈʔuː.t̪oɪ̯
prinsipal	pɾɪn̪.sɪˈpal
titil	ˈt̪iː.t̪ɪl
iskulptura	ʔɪs.kʊlpˈt̪uː.ɾɐ
momo	ˈmoː.moʔ
myembro	ˈmjɛm.bɾo
alarmado	ʔɐ.lɐɾˈmaː.d̪o
tingni	t̪ɪŋˈn̪ɪ
hukbong-dagat	hʊkˌbon̪ ˈd̪aː.ɣɐt̪̚
pridyider	ˌpɾiː.d͡ʒɪˈd̪ɛɾ
almaryo	ʔɐlˈmaɾ.jo
pinagong	pɪ.n̪ɐˈɣoŋ
sansinukob	sɐn̪.sɪˈn̪uː.xob̚
abrebiyatura	ʔɐ.bɾɛ.bjɐˈt̪uː.ɾɐ
pagmamahal	pɐɡ.mɐ.mɐˈhal
de-kwatro	d̪ɛ ˈkwat̪.ɾo
kaplamuman	kɐp.lɐˈmuː.mɐn̪
halo-halo	ˌhaː.loʔ ˈhaː.loʔ
paboritismo	pɐ.bo.ɾɪˈt̪is.mo
naisasakatuparan	n̪ɐ.ʔɪˌsaː.sɐ.xɐ.t̪ʊˈpaː.ɾɐn̪
kumprehensyon	kʊm.pɾɛ.hɛn̪ˈʃon̪
higa	hɪˈɣaʔ
suspende	sʊs.pɛn̪ˈd̪ɛ
singhutin	sɪŋ.hʊˈt̪ɪn̪
kasekway	kɐ.sɛkˈwaɪ̯
parokyano	pɐ.ɾokˈjaː.n̪o
24 oras	ˌbeɪ̯n̪.t̪ɛ ˌkwaː.t̪ɾo ˈʔoː.ɾɐs
sungalngalin	sʊ.ŋɐl.ŋɐˈlɪn̪
uria	ʔʊˈɾja
pyambrera	pjɐmˈbɾɛː.ɾɐ
lakdaw	lɐkˈd̪aʊ̯
batay	ˈbaː.t̪aɪ̯
problemahin	pɾo.blɛˈmaː.hɪn̪
alemaniko	ʔɐ.lɛˌmaː.n̪ɪˈxo
goma	ˈɡoː.mɐ
legwas	ˈlɛɡ.wɐs
kumprehensibo	kʊm.pɾɛ.hɛn̪ˈsiː.bo
pangasiwaang pangnegosyo	ˌpaː.ŋɐ.sɪ.wɐˌʔam pɐŋ.n̪ɛˈɣoː.ʃo
helera	hɛˈlɛː.ɾɐ
lumakdang	lʊ.mɐkˈd̪aŋ
katyaw	ˈkaː.t͡ʃaʊ̯
kwestyoneyr	ˌkwɛs.t͡ʃoˈn̪eɪ̯ɾ
abstraksyon	ʔɐbs.t̪ɾɐkˈʃon̪
persentahe	pɛɾ.sɛn̪ˈt̪aː.hɛ
layak	lɐˈjak̚
walunlibo	wɐ.lʊn̪ˈliː.bo
tradisyonal	t̪ɾɐ.d̪ɪ.ʃoˈn̪al
magaan ang bibig	mɐ.ɣɐˌʔan̪ ʔɐm bɪˈbɪɡ̚
banyumaria	ˌbaː.ɲʊ.mɐˈɾiː.jɐ
taad	ˈt̪aː.ʔɐd̪̚
anestesiko	ʔɐ.n̪ɛsˌt̪ɛː.sɪˈxo
elepante	ʔɛ.lɛˈpan̪.t̪ɛ
konstitusyon	kon̪s.t̪ɪ.t̪ʊˈʃon̪
maghingalo	mɐɡ.hɪ.ŋɐˈlo
batlaya	bɐt̪ˈl̪aː.jɐʔ
medyor	ˈmɛː.d͡ʒoɾ
piyudalismo	pjʊ.d̪ɐˈlis.mo
oho	ˈʔoː.hoʔ
sunggab	sʊŋˈɡab̚
malawig	mɐˈlaː.wɪɡ̚
dagit	ˈd̪aː.ɣɪt̪̚
antiyohos	ʔɐn̪ˈt͡ʃoː.hos
masiraan ng loob	mɐ.sɪˌɾaː.ʔɐn̪ n̪ɐn̪ loˈʔob̚
bakareta	bɐ.xɐˈɾɛː.t̪ɐ
apostoles	ʔɐˌpos.t̪oˈlɛs
unibersalismo	ʔʊ.n̪ɪ.bɛɾ.sɐˈlis.mo
bulwag	bʊlˈwaɡ̚
byanda	ˈbjan̪.d̪ɐ
aliktya	ʔɐ.lɪkˈt͡ʃaʔ
restawran	ɾɛs.t̪aʊ̯ˈɾan̪
mestiso	mɛsˈt̪iː.so
mamilis	mɐ.mɪˈlɪs
edukasyon	ʔɛ.d̪ʊ.xɐˈʃon̪
pagsasatao	pɐɡ.sɐ.sɐˈt̪aː.ʔo
tagasaan	t̪ɐ.ɣɐ.sɐˈʔan̪
isuksok	ʔɪ.sʊkˈsok̚
psikolohiya	sɪ.xo.loˈhiː.jɐ
paliitin	pɐ.lɪ.ʔɪˈt̪ɪn̪
'eka	ˈʔɛː.xɐʔ
kromatiko	kɾoˌmaː.t̪ɪˈxo
bajo de uñas	ˌbaː.ho d̪ɛ ʔʊnˈɲas
alambrilyong-gubat	ʔɐ.lɐmˌbɾil.joŋ ˈɡuː.bɐt̪̚
lalaki	lɐˈlaː.xɪ
adiyos	ʔɐˈd͡ʒos
parselpost	ˌpaɾ.sɛlˈpost̪
leksiyon	lɛkˈʃon̪
kugita	kʊˈɣiː.t̪ɐʔ
dadalawampuin	ˌd̪aː.d̪ɐ.lɐ.wɐmˈpuː.ʔɪn̪
pasipalin	pɐ.sɪˈpaː.lɪn̪
galis	ɡɐˈlɪs
tutos	ˈt̪uː.t̪os
tainga	t̪aɪ̯ˈŋa
taas-noo	t̪ɐˌʔas n̪oˈʔo
kastaniyas	kɐs.t̪ɐˈn̪iː.jɐs
dampi	d̪ɐmˈpɪʔ
barayti	bɐˈɾaɪ̯.t̪ɪ
bansa	bɐn̪ˈsaʔ
anuwaryo	ʔɐˈn̪waɾ.jo
gamay	ˈɡaː.maɪ̯
lilang	ˈliː.lɐŋ
higop	ˈhiː.ɣop̚
bekwa	ˈbɛk.wɐ
salangkipot	ˌsaː.lɐŋ.kɪˈpot̪̚
ngumiti	ŋʊ.mɪˈt̪ɪʔ
balik-tingin	bɐˌlɪk t̪ɪˈŋɪn̪
bawian ng buhay	bɐˌwiː.ʔɐn̪ n̪ɐm ˈbuː.haɪ̯
dramatiko	d̪ɾɐˌmaː.t̪ɪˈxo
palya	pɐlˈja
karne norte	kɐɾˌn̪ɛ ˈn̪oɾ.t̪ɛ
gulgurya	ɡʊlˈɡuɾ.jɐ
masaya	mɐ.sɐˈja
minyatura	mɪn.ɲɐˈt̪uː.ɾɐ
paniyo	pɐˈɲoʔ
induksiyong magnetiko	ʔɪn̪.d̪ʊkˌʃoŋ mɐɡˌn̪ɛː.t̪ɪˈxo
kulatkulat	ˌkuː.lɐt̪ˈkuː.lɐt̪̚
itapon	ʔɪˈt̪aː.pon̪
inog	ˈʔiː.n̪oɡ̚
tangherina	t̪ɐŋ.hɛˈɾiː.n̪ɐ
sangang-daan	sɐˌŋan̪ d̪ɐˈʔan̪
katang	kɐˈt̪aŋ
pantaya	pɐn̪ˈt̪aː.jɐ
salbabida	sɐl.bɐˈbiː.d̪ɐ
siksin	sɪkˈsɪn̪
amistoso	ʔɐ.mɪsˈt̪oː.so
balik-taga	bɐˌlɪk t̪ɐˈɣaʔ
magdyip	mɐɡˈd͡ʒɪp̚
manadyer	ˌmaː.n̪ɐdˈd͡ʒɛɾ
lubaw	ˈluː.baʊ̯
kathang-isip	kɐt̪ˌhaŋ ˈʔiː.sɪp̚
padami nang padami	pɐ.d̪ɐˌmɪ n̪ɐm pɐ.d̪ɐˈmɪ
balik-eskuwela	bɐˌlɪk ʔɛsˈkwɛː.lɐ
hurisprudensya	hʊ.ɾɪs.pɾʊˈd̪ɛn̪.ʃɐ
lanab	ˈlaː.n̪ɐb̚
pagbabahagi	pɐɡ.bɐ.bɐˈhaː.ɣɪ
klinik	ˈkliː.n̪ɪk̚
abokado	ʔɐ.boˈxaː.d̪o
bilinggwismo	bɪ.lɪŋˈɡwis.mo
ekinoksiyo	ʔɛ.xɪˈn̪ok.ʃo
nag-aamyenda	n̪ɐɡ.ʔɐ.ʔɐmˈjɛn̪.d̪ɐ
matraka	mɐˈt̪ɾaː.xɐ
abusero	ʔɐ.bʊˈsɛː.ɾo
sokoleyt	ˌsoː.xoˈleɪ̯t̪
paupahan	pɐ.ʔʊ.pɐˈhan̪
minutero	mɪ.n̪ʊˈt̪ɛː.ɾo
miyer	ˈmjɛɾ
minatay	mɪ.n̪ɐˈt̪aɪ̯
katahimikan	kɐ.t̪ɐ.hɪˈmiː.xɐn̪
kakahuyan	kɐ.xɐ.hʊˈjan̪
katiter	ˌkaː.t̪ɪˈt̪ɛɾ
tatalunan	ˌt̪aː.t̪ɐ.lʊˈn̪an̪
absuwelto	ʔɐbˈswɛl.t̪o
ambangis	ʔɐm.bɐˈŋɪs
omoseksuwalidad	ʔo.mo.sɛk.swɐ.lɪˈd̪ad̪̚
kahulugan	kɐ.hʊ.lʊˈɣan̪
sipit	ˈsiː.pɪt̪̚
diyeneretor	d͡ʒɛ.n̪ɛˈɾɛː.t̪oɾ
magaang	mɐ.ɣɐˈʔaŋ
apaya	ʔɐˈpaː.jɐ
dimpol	ˈd̪im.pol
rubriks	ˈɾub.ɾɪks
maboka	mɐˈboː.xɐ
letra-por-letra	ˌlɛt̪.ɾɐ ˌpoɾ ˈlɛt̪.ɾɐ
saan ka nakatira	sɐˌʔaŋ kɐ n̪ɐ.xɐ.t̪ɪˈɾa
abo	ʔɐˈbo
gliserina	ɡlɪ.sɛˈɾiː.n̪ɐ
kalmado	kɐlˈmaː.d̪o
milyon	mɪlˈjon̪
adosilog	ʔɐˌd̪oː.sɪˈloɡ̚
atensiyon	ʔɐ.t̪ɛn̪ˈʃon̪
galong	ˈɡaː.loŋ
soltada	solˈt̪aː.d̪ɐ
makiapid	mɐ.xɪ.ʔɐˈpɪd̪̚
butangero	bʊ.t̪ɐˈŋɛː.ɾo
suyor	ˈsuː.joɾ
kopas	ˈkoː.pɐs
katambukan	kɐ.t̪ɐm.bʊˈxan̪
industriyalista	ʔɪn̪.d̪ʊs.t̪ɾjɐˈlis.t̪ɐ
abastesedor	ʔɐ.bɐs.t̪ɛ.sɛˈd̪oɾ
kartunista	kɐɾ.t̪ʊˈn̪is.t̪ɐ
pursigido	pʊɾ.sɪˈɣiː.d̪o
taywanak	t̪aɪ̯.wɐˈn̪ak̚
bumasa	bʊˈmaː.sɐ
pinakanakakapagpabagabag	pɪ.n̪ɐ.xɐ.n̪ɐˌxaː.xɐ.pɐɡ.pɐ.bɐˈɣaː.bɐɡ̚
abuli	ʔɐ.bʊˈlɪ
hanggang piyer	hɐŋˌɡaŋ ˈpjɛɾ
duduluhan	ˌd̪uː.d̪ʊˈluː.hɐn̪
sagsag	sɐɡˈsaɡ̚
agwamadre	ˌʔaɡ.wɐˈmaː.d̪ɾɛ
ansilis	ʔɐn̪.sɪˈlɪs
amatyur	ˌʔaː.mɐtˈt͡ʃʊɾ
anitera	ʔɐ.n̪ɪˈt̪ɛː.ɾɐ
menor	mɛˈn̪oɾ
agrikultor	ʔɐ.ɡɾɪ.xʊlˈt̪oɾ
buslot	bʊsˈlot̪̚
kuping	kʊˈpɪŋ
kutingtingin	kʊ.t̪ɪn̪.t̪ɪˈŋɪn̪
barkada	bɐɾˈkaː.d̪ɐ
alse	ˈʔal.sɛ
agwamiyel	ʔɐɡ.wɐˈmjɛl
mabuhangin	mɐ.bʊˈhaː.ŋɪn̪
pirmahan	pɪɾ.mɐˈhan̪
griyega	ˈɡɾjɛ.ɣɐ
ambigwidad	ʔɐm.bɪɡ.wɪˈd̪ad̪̚
langkas	lɐŋˈkas
olpaktoryo	ʔol.pɐkˈt̪oɾ.jo
saydlayn	ˈsaɪ̯d̪.l̪aɪ̯n̪
salog	ˈsaː.loɡ̚
halabos	hɐ.lɐˈbos
koponan	ko.poˈn̪an̪
sampung laksa	sɐmˌpʊn̪ lɐkˈsaʔ
kalba	kɐlˈba
alkalinisasyon	ʔɐl.kɐ.lɪ.n̪ɪ.sɐˈʃon̪
konsiderasyon	kon̪.sɪ.d̪ɛ.ɾɐˈʃon̪
identidad	ʔɪ.d̪ɛn̪.t̪ɪˈd̪ad̪̚
pandinig	pɐn̪.d̪ɪˈn̪ɪɡ̚
imperyalismo	ʔɪm.pɛɾ.jɐˈlis.mo
dyaket	ˈd͡ʒaː.xɛt̪̚
alkarabea	ʔɐl.kɐ.ɾɐˈbɛː.jɐ
alila	ʔɐˈliː.lɐʔ
masurot	mɐˈsuː.ɾot̪̚
hikayat	hɪˈxaː.jɐt̪̚
pingas	ˈpiː.ŋɐs
rako	ˈɾaː.xoʔ
panaw	ˈpaː.n̪aʊ̯
bigaw	bɪˈɣaʊ̯
singkit	sɪŋˈkɪt̪̚
anghelus	ˌʔaŋ.hɛˈlʊs
terakota	ˌt̪ɛː.ɾɐˈxoː.t̪ɐ
takal	ˈt̪aː.xɐl
rupya	ˈɾup.jɐ
laban kay	ˈlaː.bɐŋ kaɪ̯
lektyur	ˈlɛk.t͡ʃʊɾ
pag-unlad	pɐɡ.ʔʊn̪ˈlad̪̚
amibika	ʔɐˌmiː.bɪˈxa
matador	mɐ.t̪ɐˈd̪oɾ
regular	ɾɛ.ɣʊˈlaɾ
estratehiya	ʔɛs.t̪ɾɐ.t̪ɛˈhiː.jɐ
sunog	ˈsuː.n̪oɡ̚
karmahin	ˌkaɾ.mɐˈhɪn̪
armas	ʔɐɾˈmas
tagulamin	t̪ɐ.ɣʊ.lɐˈmɪn̪
kahog	ˈkaː.hoɡ̚
patunay	pɐˈt̪uː.n̪aɪ̯
magbiyanan	mɐɡ.bjɐˈn̪an̪
taghiyawat	t̪ɐɡˈhjaː.wɐt̪̚
mag-anunsiyo	mɐɡ.ʔɐˈn̪un̪.ʃo
trak	ˈt̪ɾak̚
bayanimbayan	bɐˌjaː.n̪ɪmˈbaː.jɐn̪
kapayapaan	kɐ.pɐ.jɐˈpaː.ʔɐn̪
lalaban	lɐˈlaː.bɐn̪
gabihan	ɡɐˈbiː.hɐn̪
entrada	ʔɛn̪ˈt̪ɾaː.d̪ɐ
plahiyo	ˈplaː.hjo
aa	ʔɐˈʔaʔ
hawa	ˈhaː.wɐ
nang-aabala	n̪ɐŋ.ʔɐ.ʔɐˈbaː.lɐ
gulpi	ɡʊlˈpɪ
kalot	ˈkaː.lot̪̚
satay	ˈsaː.t̪aɪ̯
kuwarenta y tres	kwɐˌɾɛn̪.t̪ɐ ʔɪ ˈt̪ɾɛs
marang	ˈmaː.ɾɐŋ
kuntador	kʊn̪.t̪ɐˈd̪oɾ
yangit	jɐˈŋɪt̪̚
akapulko	ʔɐ.xɐˈpul.ko
dogshow	ˈd̪oɡ.ʃoʊ̯
siyurbol	ˈʃuɾ.bol
reorganisa	ɾɛ.ʔoɾ.ɡɐ.n̪ɪˈsa
walang-kain	wɐˌlaŋ ˈkaː.ʔɪn̪
paradahan	ˌpaː.ɾɐ.d̪ɐˈhan̪
marani	mɐ.ɾɐˈn̪ɪʔ
awtorisasyon	ʔaʊ̯.t̪o.ɾɪ.sɐˈʃon̪
sabado	ˌsaː.bɐˈd̪o
binbing	bɪmˈbɪŋ
makisawsaw	mɐ.xɪ.saʊ̯ˈsaʊ̯
pse	ˈpsɛ
andukha	ʔɐn̪.d̪ʊkˈhaʔ
deboto	d̪ɛˈboː.t̪o
paiksiin	pɐ.ʔɪk.sɪˈʔɪn̪
barato	bɐˈɾaː.t̪o
